Entity,Day,Training dataset size,Domain
KN-LM,2007-06-22,31000000000,Language
KataGo,2019-02-27,241000000,Games
Kimi K2,2025-07-11,15500000000000,Language
Kohonen network,1981-07-25,4000,Other
LCNP LabelMe,2009-11-22,40000,Vision
LCNP MNIST,2009-11-22,50000,Vision
LCNP NORB,2009-11-22,24300,Vision
LDM-1.45B,2021-12-20,291985200000,Image generation
LEP-AD,2023-03-15,1244420,Biology
LF-MMI,2016-09-08,720000,Speech
LISSOM,1995-11-27,2000,Vision
LLaMA-65B,2023-02-24,1400000000000,Language
LLaVA-OV-72B,2024-08-06,38314782000,Multiple domains
LMICA,2004-12-01,100000,Vision
LMSI-Palm,2022-10-20,1920000,Language
LRCN,2014-11-07,400000,Other
LRR-4X,2016-05-08,152231040,Vision
LSTM,1997-11-15,853000,Language
LSTM + dynamic eval,2017-09-21,90000000,Language
LSTM LM,2012-09-09,27000000,Language
LSTM with forget gates,1999-01-02,140870000,Language
LSTM+NeuralCache,2018-09-24,2000000,Language
LTE speaker verification system,1966-11-01,417,Speech
LUKE,2020-10-02,4666666667,Language
LaMDA,2022-02-10,2080000000000,Language
LaNet-L (CIFAR-10),2019-06-17,60000,Vision
LeNet-5,1998-11-01,60000,Vision
Linear Decision Functions,1962-06-01,500,Other
Ling-1T,2025-10-10,20000000000000,Language
Llama 2-70B,2023-07-18,2000000000000,Language
Llama 2-7B,2023-07-18,2000000000000,Language
Llama 3-70B,2024-04-18,15000000000000,Language
Llama 3.1-405B,2024-07-23,15600000000000,Language
Llama 3.3 70B,2024-12-06,15000000000000,Language
Llama 4 Behemoth (preview),2025-04-05,30000000000000,Multiple domains
Llama 4 Maverick,2025-04-05,30000000000000,Multiple domains
Llama 4 Scout,2025-04-05,30000000000000,Multiple domains
Llama Guard,2023-12-07,4096000,Language
Local Binary Patterns for facial recognition,2006-12-01,736,Vision
LongCat-Flash,2025-09-01,23000000000000,Language
LongT5,2021-12-15,524288000000,Language
M6-T,2021-03-05,111800000000,Multiple domains
MADALINE I,1962-07-01,256,Other
MEB,2021-09-04,500000000000,Multiple domains
MLN-ASR,1988-08-01,12600,Speech
MLP baggage detector,1989-01-01,20000,Vision
MLP with back-propagation,1986-10-01,104,Other
MMLSTM (PTB),2019-12-05,929000,Language
MMLSTM (WT-2),2019-12-05,2000000,Language
MS-ensemble-speech-recognition,2016-09-12,11140000000,Speech
MSA Transformer,2021-02-13,1395000000000,Biology
"MSRA (C, PReLU)",2015-02-06,1280000,Vision
MT-DNN,2019-01-31,1000000,Language
MUSIC perceptron,1996-06-03,81000,Vision
Make-A-Scene,2022-03-24,267386880000,Image generation
Mamba-24M (SC09),2023-12-01,96672,Speech
Mask R-CNN,2017-03-30,46161920000,Vision
MatrixFac for Recommenders,2009-08-07,100480507,Other
Med-PaLM 2,2023-05-16,16020450,Multiple domains
MedBERT,2021-05-20,14587212800,Other
Meena,2020-01-28,53333333333,Language
Megatron-BERT,2019-09-17,6960000000,Language
Megatron-LM (1.2B),2019-09-17,157000000000,Language
Megatron-LM (8.3B),2019-09-17,46400000000,Language
Megatron-Turing NLG 530B,2021-10-11,270000000000,Language
MemoReader,2018-10-31,1057958,Language
Mesh-TensorFlow Transformer 2.9B (translation),2018-11-05,1550000000,Language
Mesh-TensorFlow Transformer 4.9B (language),2018-11-05,5000000000,Language
MetNet,2020-03-24,7045120000,Other
Meta Pseudo Labels,2021-03-01,131280000,Vision
MetaLM,2022-06-13,646707200000,Multiple domains
MiMo-V2.5-Pro,2026-04-27,27000000000000,Language
Minerva (540B),2022-06-29,26000000000,Language
Mixture of linear models,1994-12-02,1792000,Vision
Mnemonic Reader,2017-05-08,215570,Language
MoCo,2019-11-13,940000000,Multiple domains
MoE-Multi,2017-01-23,87000000000,Language
MobileNet,2017-04-17,1280000,Vision
MobileNetV2,2018-06-18,1280000,Vision
"Mogrifier (d2, MoS2, MC) + dynamic eval",2019-09-04,2000000,Language
Mogrifier RLSTM (WT2),2022-11-03,2666667,Language
Movie Gen Video,2024-10-04,3400000000,Multiple domains
MuZero,2019-11-19,12288000000,Games
Multi-cell LSTM,2018-11-15,929000,Language
Multilingual DNN,2013-05-26,3103200000,Speech
Multiresolution CNN,2014-06-23,50000000,Other
MusicGen,2023-06-08,14284800000000,Other
NAS with base 8 and shared embeddings,2016-11-05,929000,Language
NASNet-A,2017-07-21,1280000,Vision
NASv3 (CIFAR-10),2016-11-05,45000,Vision
NETtalk reimplementation,1990-06-01,7242,Speech
NLLB,2022-07-06,300000000000,Language
NLP from scratch,2011-11-08,852000000,Language
NPD,2014-08-06,434600,Vision
NPLM (AP News),2003-03-15,13994528,Language
NPLM (Brown),2003-03-15,13994528,Language
NVLM-D 72B,2024-10-22,57016320000,Multiple domains
NVLM-H 72B,2024-10-22,125829120000,Multiple domains
NVLM-X 72B,2024-10-22,45875200000,Multiple domains
Named Entity Recognition model,2016-03-04,204567,Language
Nemotron-3-8B,2023-11-15,3800000000000,Language
Nemotron-4 340B,2024-06-14,9000000000000,Language
Neocognitron,1980-04-01,5,Vision
NetTalk (dictionary),1987-06-06,5000,Speech
NetTalk (transcription),1987-06-06,5120,Speech
Network in Network,2013-12-16,630420,Vision
NeuMF (Pinterest),2017-08-16,1500809,Other
Neural LM,2000-11-28,32000000,Language
Neuro-Symbolic Concept Learner,2019-04-26,100000,Multiple domains
NeuroChess,1994-12-02,9600000,Games
Noisy Student (L2),2019-11-11,81000000,Vision
NoisyNet-Dueling,2017-06-30,320000000,Games
Nucleotide Transformer,2023-01-15,300000000000,Biology
NÜWA,2021-11-24,5547780000,Multiple domains
ONE-PEACE,2023-05-18,490617000000,Multiple domains
OPT-175B,2022-05-02,180000000000,Language
OR-WideResNet,2017-01-07,50000,Vision
Olmo 3,2025-11-20,5500000000000,Language
OmegaPLM,2022-07-22,1258291200000,Biology
Once for All,2020-04-29,1280000,Vision
OntoProtein,2022-01-23,2868520960,Multiple domains
OpenAI Five,2019-12-13,454164480000,Games
OpenAI Five Rerun,2019-12-13,53084160000,Games
PLATO-XL,2021-09-20,150000000000,Language
PLUG,2021-04-19,60000000000,Language
PaLI,2022-09-14,143507000000,Multiple domains
PaLM (540B),2022-04-04,780000000000,Language
PaLM 2,2023-05-10,3600000000000,Language
PanGu-Σ,2023-03-20,329000000000,Language
Pangu Ultra,2025-04-10,13200000000000,Language
Pangu-Weather,2023-07-05,24457821696000,Other
Paragraph Vector,2014-05-14,16500000,Language
Parti,2022-06-22,4718592000000,Image generation
Pattern recognition and reading by machine,1959-12-01,180,Vision
PeptideBERT,2023-08-28,4160566,Biology
Perceiver IO (optical flow),2020-02-08,146022400000,Multiple domains
Perceptron (1960),1960-03-30,100,Vision
Perceptron Mark I,1957-01-01,100,Other
PermuteFormer,2021-09-06,103000000,Language
Photo-Geometric Autoencoder,2019-11-25,819200000,Multiple domains
PhraseCond,2017-10-28,160000,Language
Piecewise linear model,1973-11-01,314,Vision
PixelCNN,2016-06-16,15728640000,Vision
PixelDance,2024-09-24,114229250000000,Multiple domains
PoE MNIST,2000-11-28,54000,Vision
PointNet,2016-12-02,9843,Other
PointNet++,2017-06-07,60000,Other
