Entity,Day,Number of parameters
Make-A-Scene,2022-03-24,4000000000
Mamba-24M (SC09),2023-12-01,23400000
MaskGIT (ImageNet),2022-02-08,227000000
Masked Autoencoders ViT-H,2021-11-11,632000000
Mathstral,2024-07-16,7000000000
Med-PaLM 2,2023-05-16,340000000000
MedBERT,2021-05-20,17000000
Meena,2020-01-28,2600000000
MegaScale (Production),2024-02-23,530000000000
Megatron-BERT,2019-09-17,3900000000
Megatron-LM (1.2B),2019-09-17,1200000000
Megatron-LM (8.3B),2019-09-17,8300000000
Megatron-Turing NLG 530B,2021-10-11,530000000000
Mesh-TensorFlow Transformer 2.9B (translation),2018-11-05,2900000000
Mesh-TensorFlow Transformer 4.9B (language),2018-11-05,4900000000
MetNet,2020-03-24,225000000
Meta Pseudo Labels,2021-03-01,480000000
MetaMimic,2018-10-11,22000000
MiMo-V2-Pro,2026-03-18,1020000000000
MiMo-V2.5-Pro,2026-04-27,1020000000000
MindLink-72B,2025-08-01,72000000000
Minerva (540B),2022-06-29,540350000000
MiniMax-M2,2025-10-27,229000000000
MiniMax-M2.1,2025-12-23,229000000000
Mistral Large 2,2024-07-24,123000000000
Mixtral 8x7B,2023-12-11,46700000000
Mixture of linear models,1994-12-02,384000
MoCo,2019-11-13,375000000
MoE-Multi,2017-01-23,8700000000
MobileNet,2017-04-17,4200000
MobileNetV2,2018-06-18,3400000
"Mogrifier (d2, MoS2, MC) + dynamic eval",2019-09-04,35000000
Mogrifier RLSTM (WT2),2022-11-03,35000000
Movie Gen Video,2024-10-04,30000000000
MuZero,2019-11-19,36864000
Multi-cell LSTM,2018-11-15,7200000
Multilingual DNN,2013-05-26,206899200
Multiresolution CNN,2014-06-23,126125568
MuseNet,2019-04-25,2038431744
MusicGen,2023-06-08,3359000000
MusicLM,2023-01-26,860000000
NAS with base 8 and shared embeddings,2016-11-05,54000000
NAS+ESS (23M),2020-05-06,23000000
NASNet-A,2017-07-21,89000000
NASv3 (CIFAR-10),2016-11-05,37400000
NETtalk reimplementation,1990-06-01,27480
NLLB,2022-07-06,54500000000
NLP from scratch,2011-11-08,5000000
NMT Transformer 437M,2019-02-28,437700000
NPD,2014-08-06,313856
NPLM (AP News),2003-03-15,11904264
NPLM (Brown),2003-03-15,4124233
NVILA 15B,2024-12-05,15000000000
NVLM-D 72B,2024-10-22,72000000000
NVLM-H 72B,2024-10-22,72000000000
NVLM-X 72B,2024-10-22,72000000000
Nemotron 3 Super,2026-03-11,120000000000
Nemotron 3 Ultra,2026-06-04,550000000000
Nemotron 3-Nano-30B-A3B,2025-12-15,31600000000
Nemotron-3-8B,2023-11-15,8000000000
Nemotron-4 340B,2024-06-14,340000000000
