Entity,Day,Training computation (petaFLOP)
LLaVA,2023-04-17,78049000
LLaVA 1.5,2023-11-05,78070000
LLaVA-OV-72B,2024-08-06,3036552000
LMICA,2004-12-01,2.7820802
LSTM,1997-11-15,0.031512
LSTM LM,2012-09-09,16.6
LSTM+NeuralCache,2018-09-24,0.9828
LTE speaker verification system,1966-11-01,1.0591706e-7
LUKE,2020-10-02,18144000
LaMDA,2022-02-10,355000000
LeNet-5,1998-11-01,0.0028109376
Libratus,2017-08-19,551000
Linear Decision Functions,1962-06-01,1.5592501e-9
Ling-1T,2025-10-10,6000001500
Llama 2-70B,2023-07-18,810000000
Llama 2-7B,2023-07-18,84000000
Llama 3-70B,2024-04-18,7861000000
Llama 3.1-405B,2024-07-23,38000000000
Llama 3.2 11B,2024-09-24,579000000
Llama 3.3 70B,2024-12-06,6864977000
Llama 4 Behemoth (preview),2025-04-05,51840000000
Llama 4 Maverick,2025-04-05,2244000000
Llama 4 Scout,2025-04-05,4080000300
Llama Guard,2023-12-07,160000000
Llama-3.1-Nemotron-70B-Instruct,2024-06-12,7929000000
LongCat-Flash,2025-09-01,3725999900
M6-T,2021-03-05,5500000.5
MLN-ASR,1988-08-01,2.96425e-7
MLP with back-propagation,1986-10-01,6.7392e-7
MM1-30B,2024-03-14,486000000
MMLSTM (PTB),2019-12-05,58.298782
MMLSTM (WT-2),2019-12-05,193.8
MSA Transformer,2021-02-13,5490000
"MSRA (C, PReLU)",2015-02-06,23974.031
MUSIC perceptron,1996-06-03,0.0008817336
Make-A-Scene,2022-03-24,6417285
Masked Autoencoders ViT-H,2021-11-11,460000
MedBERT,2021-05-20,9470
Meena,2020-01-28,112000000
MegaScale (Production),2024-02-23,3900000000
Megatron-BERT,2019-09-17,22000002
Megatron-LM (1.2B),2019-09-17,1130400
Megatron-LM (8.3B),2019-09-17,9100000
Megatron-Turing NLG 530B,2021-10-11,858600060
Mesh-TensorFlow Transformer 2.9B (translation),2018-11-05,68428.805
Mesh-TensorFlow Transformer 4.9B (language),2018-11-05,161740.8
MetNet,2020-03-24,9510.912
Meta Pseudo Labels,2021-03-01,47900004
MiMo-V2.5-Pro,2026-04-27,6804000300
Minerva (540B),2022-06-29,2741500200
Mistral Large,2024-02-26,11200000000
Mistral Large 2,2024-07-24,21300000000
Mixtral 8x7B,2023-12-11,774000000
Mixture of linear models,1994-12-02,0.0004536
MoE-Multi,2017-01-23,93939.055
