Entity,Day,Training dataset size
RNN LM,2010-09-26,6400000
RNN for 1B words,2013-12-11,1000000000
RNN+LDA+KN5+cache,2012-12-01,929000
RNNsearch-50*,2014-09-01,232000000
RNTN,2013-10-01,155063
RankNet,2005-08-07,3464289
ReALM,2024-03-29,134000000000
ReLU (LFW),2010-06-15,233280
ReLU (NORB),2010-06-15,291600
Reading Twice for NLU,2017-06-08,200000
Recursive Neural Network,2011-06-28,573285
Relational Memory Core,2018-06-05,4000000000
ResNeXt-101 (64×4d),2016-11-16,1280000
ResNeXt-101 32x48d,2018-05-02,940000000
ResNeXt-101 Billion-scale,2019-05-02,90000000
ResNeXt-50,2016-11-16,1280000
ResNet-1001,2016-09-17,50000
ResNet-101 (ImageNet),2015-12-10,1280000
ResNet-110 (CIFAR-10),2015-12-10,50000
ResNet-152 (ImageNet),2015-12-10,1280000
ResNet-200,2016-09-17,1281167
RetinaNet-R101,2017-08-07,115000
RetinaNet-R50,2017-08-07,11500000000
Retrieval-Augmented Generator,2020-05-22,3074560
RoBERTa Large,2019-07-01,42666670000
RoFormer,2023-11-08,3276800000
RoseTTAFold All-Atom (RFAA),2023-10-09,63240960
Routing Transformer (WT-103),2020-03-12,103000000
S-Norm,2017-10-29,1060000
S4,2021-10-31,103000000
SAF R-CNN,2015-10-28,350000
SB-LM,2007-06-22,1800000000000
SC-NLM,2014-11-10,5000000
SEER,2021-07-29,1000000000
SENet (ImageNet),2017-09-05,1280000
SNM-skip,2014-12-03,800000000
SOM-CNN,1997-01-31,129000
SPIDER2,2016-10-28,13893600
SPN (ImageNet 128),2018-12-04,251658240000
SPN-4+KN5,2014-09-14,929000
SPPNet,2014-06-18,1280000
SRGAN,2017-05-25,700000
SRU++ Large,2021-02-24,103000000
SSD,2015-12-08,2300000
ST-MoE,2022-02-17,1500000000000
SVM-CNN,2006-06-17,583200
Sandwich Transformer,2019-11-10,700000000
SciBERT,2019-03-26,3170000000
Seed1.5-VL,2025-05-11,3000000000000
"Segatron-XL large, M=384 + HCP",2022-03-21,103000000
Segment Anything Model,2023-04-05,1100000000
Self Organizing System,1955-03-01,2
Seq2Seq LSTM,2014-09-10,870000000
SexNet classification,1990-10-01,80
SexNet compression,1990-10-01,81000
Show-1,2023-09-27,160358400000000
ShuffleNet v1,2017-07-03,1280000
Siamese-TDNN,1993-08-01,7701
SigLIP 400M,2023-03-27,6705000000000
SimCLR,2020-02-13,10467705000
SimCSE,2022-05-18,27363504
SimpleNet,2016-08-22,1280000
Skywork-13B,2023-10-30,3200000000000
Solar Open 100B
,2025-12-31,19700000000000
Sparse all-MLP,2022-04-14,100000000000
Spatial Pyramid Matching,2006-06-17,3030
Spatially-Sparse CNN,2014-09-23,901200
Speaker-independent vowel classification,1989-11-27,4104
SqueezeNet,2016-02-24,1280000
Stacked Denoising Autoencoders,2010-01-03,339250000
StarCoder,2023-05-09,203750000000
StarGAN v2,2019-12-04,400000
Statement Curriculum Learning,2022-03-02,372000000000
Student of Games,2021-12-06,245760000000
StyleGAN,2018-12-12,50000000
StyleGAN2,2019-12-03,114000000
StyleGAN3-R,2021-06-21,50000000
StyleGAN3-T,2021-06-21,50000000
Support Vector Machines,1995-09-01,60000
Swift,2023-08-30,120000000
Switch,2021-01-11,86400000000
System 11,1996-06-18,23750
T-DMCA,2018-01-30,14000000000
T5-11B,2019-10-23,34000000000
T5-3B,2019-10-23,5100000000
TA-CNN,2014-11-29,45000
TC-DNN-BLSTM-DNN,2015-04-06,29160000
TCAN (WT2),2020-02-28,2000000
TCN (P-MNIST),2018-02-15,60000
TD-Gammon,1992-05-01,6300000
TFE SVM,2006-02-02,600000
TaLK Convolution,2020-02-08,103000000
Table Tennis Agent,2024-08-07,2400000000
Telechat2-115B,2024-09-20,10000000000000
Template Adaptation
,2016-03-12,7797
Tensor-Transformer(1core)+PN (WT103),2020-03-17,103000000
Theseus,1950-07-02,40
Theseus 6/768,2020-02-07,393000
Thumbs Up?,2002-05-28,1400
Tranception,2022-05-27,48230400000
TransE,2013-12-05,17500000
Transformer (2017),2017-06-12,832000000
Transformer (Adaptive Input Embeddings) WT103,2018-09-28,100000000
Transformer + Simple Recurrent Unit,2018-09-17,112500000
Transformer - LibriVox + Decoding/Rescoring,2019-11-19,981312000
Transformer ELMo,2019-01-01,2000000000
Transformer local-attention (NesT-B),2021-05-26,1280000
Transformer-XL (257M),2019-01-09,103000000
Transformer-XL + RMS dynamic eval,2019-04-17,103000000
Transformer-XL DeFINE (141M),2019-11-27,103000000
Transformer-XL Large + Phrase Induction,2019-06-04,103000000
TransformerXL + spectrum control,2020-03-11,103000000
Translation-invariant MLP,1987-06-15,160
TrellisNet,2018-10-15,103000000
TriNet,2017-11-21,509914
True-Regularization+Finetune+Dynamic-Eval,2019-04-08,929000
Turing-NLG,2020-02-13,46400000000
Two Stage Feature Extraction (MNIST),2009-09-01,50000
Two-stream ConvNets for action recognition,2014-06-09,1289500
U-Net,2015-05-18,7864320
U-PaLM (540B),2022-10-20,1300000000
UDSMProt,2019-09-04,149700000
UL2,2022-05-10,1000000000000
Unsupervised High-level Feature Learner,2012-07-12,1200000000000
VALL-E,2023-01-05,76800000000
VD-LSTM+REAL Large,2016-11-04,929000
VGG-Face,2015-01-01,2600000
VGG16,2014-09-04,1300000
VGG19,2014-09-04,1300000
VILA-13B,2023-12-12,32430000000
VILA1.5-13B,2024-05-03,32430000000
VQ-VAE,2017-11-02,62914560000
VQGAN + CLIP,2020-12-17,251988480000
"Variational (untied weights, MC) LSTM (Large)",2015-12-16,929000
Vector Space Model,2011-06-19,5650000
Vega v2,2022-12-04,6440000000
ViT-22B,2023-02-10,4000000000
ViT-Base/32,2020-10-22,303000000
ViT-G (model soup),2022-03-10,1752320000
